2021-01-04 21:29:55,211 [INFO ]  Starting Rasa server on http://localhost:5005
2021-01-05 11:10:03,651 [INFO ]  Starting Rasa server on http://localhost:5005
2021-01-05 11:26:31,637 [ERROR]  Encountered an exception while running action 'action_charge'. Bot will continue, but the actions events are lost. Please check the logs of your action server for more information.
2021-01-05 11:55:31,012 [ERROR]  Encountered an exception while running action 'action_charge'. Bot will continue, but the actions events are lost. Please check the logs of your action server for more information.
2021-01-05 12:01:55,029 [ERROR]  Encountered an exception while running action 'action_charge'. Bot will continue, but the actions events are lost. Please check the logs of your action server for more information.
2021-01-05 12:03:27,955 [ERROR]  Encountered an exception while running action 'action_charge'. Bot will continue, but the actions events are lost. Please check the logs of your action server for more information.
2021-01-05 12:04:17,395 [ERROR]  Encountered an exception while running action 'action_charge'. Bot will continue, but the actions events are lost. Please check the logs of your action server for more information.
2021-01-05 12:07:40,318 [ERROR]  Encountered an exception while running action 'action_charge'. Bot will continue, but the actions events are lost. Please check the logs of your action server for more information.
2021-01-05 12:07:42,673 [ERROR]  Encountered an exception while running action 'action_charge'. Bot will continue, but the actions events are lost. Please check the logs of your action server for more information.
2021-01-05 12:08:59,166 [ERROR]  Encountered an exception while running action 'action_charge'. Bot will continue, but the actions events are lost. Please check the logs of your action server for more information.
2021-01-05 12:09:50,089 [ERROR]  Encountered an exception while running action 'action_charge'. Bot will continue, but the actions events are lost. Please check the logs of your action server for more information.
2021-01-05 12:11:51,552 [ERROR]  Encountered an exception while running action 'action_charge'. Bot will continue, but the actions events are lost. Please check the logs of your action server for more information.
2021-01-05 12:14:29,201 [ERROR]  Encountered an exception while running action 'action_charge'. Bot will continue, but the actions events are lost. Please check the logs of your action server for more information.
2021-01-05 12:17:11,124 [ERROR]  Encountered an exception while running action 'action_charge'. Bot will continue, but the actions events are lost. Please check the logs of your action server for more information.
2021-01-05 12:17:55,703 [ERROR]  Encountered an exception while running action 'action_charge'. Bot will continue, but the actions events are lost. Please check the logs of your action server for more information.
2021-01-05 12:18:30,900 [ERROR]  Encountered an exception while running action 'action_charge'. Bot will continue, but the actions events are lost. Please check the logs of your action server for more information.
2021-01-05 12:24:35,010 [ERROR]  Encountered an exception while running action 'action_charge'. Bot will continue, but the actions events are lost. Please check the logs of your action server for more information.
2021-01-05 12:25:43,994 [ERROR]  Encountered an exception while running action 'action_charge'. Bot will continue, but the actions events are lost. Please check the logs of your action server for more information.
2021-01-05 12:26:41,297 [ERROR]  Encountered an exception while running action 'action_charge'. Bot will continue, but the actions events are lost. Please check the logs of your action server for more information.
2021-01-05 12:29:43,302 [ERROR]  Encountered an exception while running action 'action_charge'. Bot will continue, but the actions events are lost. Please check the logs of your action server for more information.
2021-01-05 12:31:08,778 [ERROR]  Encountered an exception while running action 'action_charge'. Bot will continue, but the actions events are lost. Please check the logs of your action server for more information.
